tmp_free,cold_start,agent_memory_avg,function_error,billed_mb_ms,total_network,billed_duration,init_duration,fd_use,tmp_max,used_memory_max,shutdown,agent_memory_max,total_memory,request_id,memory_size,cpu_system_time,insights_duration,version,duration,memory_used,rx_bytes,insight_init_duration,shutdown_reason,tmp_used,tx_bytes,function_name,cpu_user_time,threads_max,fd_max,memory_utilisation,payload
538320896,False,10,,576000,3732,375,,21,550461440,552,0,10,1536,f4a00589-6a88-4933-800f-5d8429688c80,,30,374,RAM1536,,,496,0,0,12140544,3236,workbench-matmul,250,10,1024,35,{'n': 1710}
538320896,False,10,,14574976,15750,5993,,21,550461440,2165,0,10,2432,c83f77ab-5a66-4b91-ae74-63efb74a77cf,,260,5992,RAM2432,,,7779,0,0,12140544,7971,workbench-matmul,7040,10,1024,89,{'n': 5410}
538320896,False,10,,1321856,18286,449,,21,550461440,380,0,10,2944,d35f5d77-552e-4f74-85b3-2b3baf4659ce,,50,448,RAM2944,,,7879,0,0,12140544,10407,workbench-matmul,640,10,1024,12,{'n': 2210}
538320896,False,10,,5451520,0,4259,,21,550461440,1280,1,10,1280,1d276d5d-e8c8-4e33-abb4-8c8e216f7bd4,,420,4258,RAM1280,,,0,0,failure,12140544,0,workbench-matmul,1100,9,1024,100,{'n': 8810}
538320896,False,10,,3342976,3728,2009,,21,550461440,528,0,10,1664,d6b97255-419a-4e89-af45-e0d7bd1033c2,,140,2008,RAM1664,,,496,0,0,12140544,3232,workbench-matmul,1740,10,1024,31,{'n': 3110}
538320896,False,10,,16034304,4115,5694,,21,550461440,800,0,10,2816,43206f13-cab7-4f37-91f3-44de985bbe95,,370,5693,RAM2816,,,760,0,0,12140544,3355,workbench-matmul,8350,10,1024,28,{'n': 5410}
538324992,True,8,,2887680,0,5640,,22,550461440,512,1,9,512,c047c329-b168-4a0c-b093-6ac8ba19d316,,1090,5639,RAM512,,,0,1239,failure,12136448,0,workbench-matmul,310,10,1024,100,{'n': 4610}
,,,,,,,,,,,,,,54794d1a-6010-49e1-b217-1dbd021b823e,,,,,,,,,,,,,,,,,{'n': 9010}
538320896,False,10,,7946240,0,6208,,21,550461440,1280,1,11,1280,c731fb53-99a6-423a-b2f4-c51583b48058,,1820,6207,RAM1280,,,0,0,failure,12140544,0,workbench-matmul,1160,9,1024,100,{'n': 9510}
538320896,False,10,,50830080,552,26474,,21,550461440,1556,0,10,1920,496cae8b-078d-48f9-9d44-ec21dac636e7,,570,26473,RAM1920,,,348,0,0,12140544,204,workbench-matmul,26430,9,1024,81,{'n': 7910}
538324992,True,9,,3341440,84,5221,,22,550461440,328,0,9,640,6d74bc50-1c40-4d05-9628-97fcf493bb56,,260,5220,RAM640,,,42,1292,0,12136448,42,workbench-matmul,1590,10,1024,51,{'n': 3010}
538320896,False,10,,28945664,15902,11902,,21,550461440,2114,0,10,2432,9926a662-ed31-4f65-8f26-c815b801243a,,650,11901,RAM2432,,,7887,0,0,12140544,8015,workbench-matmul,15390,10,1024,86,{'n': 6610}
538320896,False,10,,46479872,15690,15788,,21,550461440,1492,0,10,2944,8e4f4457-c8be-4fee-81c0-512faa4d088d,,910,15787,RAM2944,,,7875,0,0,12140544,7815,workbench-matmul,24590,10,1024,50,{'n': 7710}
538320896,False,10,,8552448,0,5568,,21,550461440,1537,1,10,1536,a333a9f6-766b-41f1-83d6-38835f240547,,1930,5567,RAM1536,,,0,0,failure,12140544,0,workbench-matmul,970,9,1024,100,{'n': 8610}
538320896,False,10,,2862720,15502,3195,,21,550461440,896,1,10,896,8287003f-c998-4432-bbff-2c3ffd0c8e40,,540,3194,RAM896,,,7623,0,failure,12140544,7879,workbench-matmul,770,9,1024,100,{'n': 9910}
538320896,False,10,,1402880,4220,685,,21,550461440,679,0,10,2048,e801c152-cc9b-4d7d-903d-6bc2de869bf4,,50,684,RAM2048,,,926,0,0,12140544,3294,workbench-matmul,720,10,1024,33,{'n': 2310}
538324992,True,8,,100352,84,98,,22,550461440,128,0,9,1024,6da3aa16-2dc4-4e40-bbdf-0d7957a7ba3a,,140,97,RAM1024,,,42,1245,0,12136448,42,workbench-matmul,100,10,1024,12,{'n': 710}
538320896,False,10,,44555776,16020,20476,,21,550461440,1858,0,10,2176,563b366e-1637-4e7e-b30d-f5084eda6b40,,470,20475,RAM2176,,,7941,0,0,12140544,8079,workbench-matmul,21970,10,1024,85,{'n': 7810}
538320896,False,10,,11961600,18366,13350,,21,550461440,662,0,10,896,24c15ad7-4c44-40a5-b496-d786f68f7e90,,410,13349,RAM896,,,7941,0,0,12140544,10425,workbench-matmul,6380,10,1024,73,{'n': 4810}
538320896,False,6,,21324288,28180,13883,,21,550461440,1536,0,7,1536,4f77a8cb-3cd2-4949-91f5-a74e37e1fd8c,,360,13882,RAM1536,,,7905,0,0,12140544,20275,workbench-matmul,11700,10,1024,100,{'n': 6010}
538320896,False,10,,74240,3691,29,,21,550461440,657,0,10,2560,59c69b2b-2703-4a46-b68c-51d148dcfee3,,10,28,RAM2560,,,354,0,0,12140544,3337,workbench-matmul,50,10,1024,25,{'n': 710}
538320896,False,10,,110592,14832,54,,21,550461440,679,0,10,2048,9a2781d9-2ddd-4272-8693-d93c9b157eff,,20,53,RAM2048,,,7085,0,0,12140544,7747,workbench-matmul,60,10,1024,33,{'n': 910}
