version,total_memory,tmp_max,cpu_user_time,fd_use,tmp_used,rx_bytes,request_id,payload,insights_duration,shutdown,duration,threads_max,init_duration,agent_memory_max,agent_memory_avg,total_network,billed_duration,function_error,cold_start,insight_init_duration,billed_mb_ms,fd_max,memory_used,memory_size,memory_utilisation,shutdown_reason,cpu_system_time,start_time,tmp_free,function_name,tx_bytes,used_memory_max
RAM2944,2944,550461440,1520,21,12140544,7647,f8e349ae-8fdc-4b16-bc19-b726c6878797,{'n': 3010},1038,0,1039,10,,10,10,18070,1039,,False,0,3058816,1024,590,2944,20,0,70,1722318939885,538320896,workbench-matmul,10423,590
RAM512,512,550461440,3540,21,12140544,7821,c07abd99-0fe7-4041-be45-72bbfb0ced0b,{'n': 3910},13384,0,13385,9,,10,10,15694,13385,,False,0,6853120,1024,464,512,90,0,120,1722318976836,538320896,workbench-matmul,7873,464
RAM768,768,550461440,670,21,12140544,7557,d5f93baf-a1ba-4d2c-82e3-318b65d12063,{'n': 7410},3095,1,3096,11,,11,10,15322,3096,Runtime exited with error: signal: killed,False,0,2377728,1024,768,768,100,failure,400,1722318979208,538320896,workbench-matmul,7765,768
RAM1920,1920,550461440,1660,21,12140544,7887,ad3ad663-dee3-46f3-a06b-b9f4b91fbe8c,{'n': 3310},2533,0,2534,10,,11,11,15842,2534,,False,0,4865280,1024,529,1920,27,0,70,1722318971849,538320896,workbench-matmul,7955,529
RAM1408,1408,550461440,12810,21,12140544,7875,933fab80-9f61-405f-881c-4499729f42aa,{'n': 6110},16653,0,16654,10,,11,11,15840,16654,,False,0,23448832,1024,1373,1408,97,0,200,1722319066546,538320896,workbench-matmul,7965,1373
RAM1920,1920,550461440,15610,22,12136448,42,233ef709-76a8-4662-afde-fbb458b0fb72,{'n': 6610},15601,0,15602,9,1318,9,9,84,15602,,True,1318,29955840,1024,1127,1920,58,0,1090,1722319004742,538324992,workbench-matmul,42,1127
RAM1408,1408,550461440,9390,21,12140544,7809,519f1aab-519b-478e-9147-0ad3f06b568d,{'n': 5510},12111,0,12112,10,,10,10,15704,12112,,False,0,17053696,1024,825,1408,58,0,290,1722318971666,538320896,workbench-matmul,7895,825
RAM1792,1792,550461440,1160,21,12140544,0,7174483d-9353-419b-9666-5050d4f42332,{'n': 9010},3538,1,3539,10,,9,9,0,3539,Runtime exited with error: signal: killed,False,0,6341888,1024,1792,1792,100,failure,650,1722319144754,538320896,workbench-matmul,0,1792
RAM2304,2304,550461440,270,21,12140544,0,2f5bcfab-b79c-469d-940f-4130ef0f00bf,{'n': 1610},219,0,220,10,,10,10,0,220,,False,0,506880,1024,696,2304,30,0,20,1722318950003,538320896,workbench-matmul,0,696
RAM128,128,550461440,0,21,12140544,0,6982fa8a-8641-4369-96c0-0bba961461f6,{'n': 9110},21041,0,21042,10,,10,10,0,21042,,False,0,2693376,1024,104,128,81,0,0,1722319011714,538320896,workbench-matmul,0,104
RAM2688,2688,550461440,20,21,12140544,66,ba788ee8-74e2-4681-beb9-e675efa20a55,{'n': 710},21,0,22,11,,11,11,4482,22,,False,0,59136,1024,531,2688,19,0,20,1722318943222,538320896,workbench-matmul,4416,531
RAM2048,2048,550461440,3300,21,12140544,7515,17ab5d0b-333d-4eee-9836-864b54f8ca6f,{'n': 3910},3049,0,3050,10,,10,10,15122,3050,,False,0,6246400,1024,635,2048,31,0,110,1722318954825,538320896,workbench-matmul,7607,635
RAM640,640,550461440,520,21,12140544,0,78711233-1f7c-48e6-9714-f74421cc6f99,{'n': 5810},6199,1,6200,9,,10,10,0,6200,Runtime exited with error: signal: killed,False,0,3968000,1024,640,640,100,failure,230,1722319049580,538320896,workbench-matmul,0,640
